TARJETA,DETALLE,FECHA ORIGINAL,IMPORTE ORIGINAL
VISA,BALUT,12/01/2012,154
VISA,MOVISTAR,24/02/2012,
VISA,FARMACIA REGALO EVEN,20/03/2012,178.5
MASTER,FRAVEGA CAMARA,20/08/2010,
MASTER,MONTAGNE MOCHILA,06/12/2011,391.5
MASTER,MERCADO PAGO BX2,30/11/2011,2273.7
VISA,VESTIDO EVEN ANA ACOSTA,30/04/2012,260
VISA,AES,13/05/2012,23
VISA,PARTS CONNEXION,14/05/2012,432
VISA,MARK TWAIN - chaleco gordo,15/06/2012,149
VISA,CELU EVEN - Frávega,18/06/2012,899
VISA,CENA ABASTO,23/06/2012,87
VISA,ZAPATOS NEGROS MOCASINES - DAZ,05/07/2012,450
VISA,FarmaCity Centro,06/07/2012,70.2
VISA,FarmaCity Centro,14/07/2012,105
VISA,Cafetera SAECO en Garbarino,21/07/2012,1099
MASTER,McOwens,24/07/2012,159
VISA,EXTRAVIO TARJETA,01/12/2012,24
MASTER,MiniCuotas Riveiro,26/07/2012,259
MASTER,RINONERA,28/07/2012,90
MASTER,CENA SERRANO / MERIDIANO 58,27/07/2012,220
